title,cast,release_year,plot
Strangers on a Train,"
Farley Granger
Ruth Roman
Robert Walker
","
June 30, 1951 (1951-06-30)
","NAAmateur tennis star Guy Haines wants to divorce his vulgar, promiscuous wife Miriam so he can marry Anne Morton, the daughter of a US Senator. On a train, smooth-talking psychopath Bruno Antony recognizes Haines and in conversation mentions his idea for a murder scheme: two perfect strangers meet and ""swap murders"" — Bruno suggests he kill Miriam and Guy kill Bruno's hated father. Each will murder a total stranger with no apparent motive, so neither will be suspected. Guy humors Bruno by pretending to find his idea amusing, but is so eager to get away from Bruno that he leaves behind his engraved cigarette lighter, which Bruno keeps.
Guy meets with Miriam, who is pregnant by someone else, at her workplace in Metcalf, their hometown. Miriam informs Guy that she no longer wants to end their marriage. When she threatens to claim that the baby is his to thwart any divorce, they argue loudly. Later, Bruno follows Miriam to an amusement park and strangles her to death while Guy is traveling on the train back to Washington. When Guy arrives home, Bruno informs him Miriam is dead and insists that he honor their deal by killing Bruno's father.
Guy goes to the Mortons' home, where Anne's father informs Guy that his wife has been murdered. Anne's sister Barbara says that the police will think that Guy is the murderer since he has a motive. The police question Guy, but are unable to confirm his alibi: a professor Guy met on the train was so drunk that he cannot remember their encounter. But instead of arresting Guy, the police assign around-the-clock escort to keep watch on him.
To pressure Guy, Bruno follows him around Washington, introduces himself to Anne, and appears at a party at Senator Morton's house. To amuse another guest, Bruno demonstrates how to strangle someone by playfully putting his hands around her neck. His gaze falls upon Barbara, whose glasses and physical appearance resemble Miriam's. This triggers a flashback and he blacks out. Barbara tells Anne that Bruno was looking at her while strangling the other woman and Anne realizes her resemblance to Miriam. Her suspicions aroused, Anne confronts Guy, who tells her the truth about Bruno's crazy scheme.
Bruno sends Guy a pistol, a house key, and a map showing the location of his father's bedroom. Guy creeps into Bruno's father's room hoping to warn him of his son's murderous intentions, but instead, he finds Bruno there waiting for him, suspicious of Guy’s sudden agreement. Guy tries to persuade Bruno to seek psychiatric help; Bruno threatens to make Guy pay for the crime from which he is benefiting.
Anne visits Bruno's home and unsuccessfully tries to explain to his befuddled mother that her son is a murderer. Bruno mentions Guy's missing cigarette lighter to Anne on leaving and claims that Guy asked him to search the murder site for it; Guy correctly surmises that Bruno intends to incriminate him by planting it there. After winning a match at Forest Hills, Guy eludes the police and heads for the amusement park to forestall Bruno.
Bruno is delayed at Metcalf when he accidentally drops Guy's lighter down a storm drain and must retrieve it. When Bruno arrives at the amusement park, a carnival worker recognizes him from the night of the murder; he informs the police, who mistakenly think he means Guy. After Guy arrives, he and Bruno fight on the park's carousel. Thinking Guy is trying to escape, a police officer shoots at him but instead kills the carousel operator, causing it to spin out of control. A carnival worker crawls underneath it and applies the brakes but the mechanism fails, causing the carousel to violently rotate off its axis; Bruno is trapped underneath it and mortally injured. The worker who recognized Bruno tells the police chief that he has never seen Guy before.
Guy tells the police of his suspicions. As Bruno dies, his fingers open to reveal Guy's lighter in his hand. While aboard a train the next day, a stranger asks if he is Guy Haines and he and Anne move to other seats.
"
Trainspotting,"
Ewan McGregor
Ewen Bremner
Jonny Lee Miller
Kevin McKidd
Robert Carlyle
Kelly Macdonald
","
23 February 1996 (1996-02-23)
","NA26-year-old Mark Renton is an unemployed heroin addict living with his parents in the suburbs of Edinburgh, Scotland. He regularly partakes in drug use with his friends: Simon ""Sick Boy"" Williamson, a treacherous, womanising James Bond fanatic; Daniel ""Spud"" Murphy, an outwardly docile confidence trickster; and Swanney, ""Mother Superior"", their dealer. Renton is warned about the dangers of his drug habit by his other friends, Francis ""Franco"" Begbie, an aggressive psychopath, and Tommy Mackenzie, a footballer, who both abstain from drugs. Growing tired of his reckless lifestyle, Renton attempts to wean himself off heroin with opium suppositories given by dealer Mikey Forrester. At a nightclub, Renton notices that his cessation of heroin use has increased his libido. He woos a girl named Diane Coulston and they have sex in the apartment owned by her parents, but is horrified to learn that she is below the age of consent. Diane uses this as a threat against Renton to continue their relationship.
After several unsuccessful attempts to reintegrate into society, Renton, Sick Boy and Spud relapse into heroin use. Tommy also begins to dabble in drug use, after becoming depressed due to being dumped by his girlfriend. Even the negligence-induced death of Dawn, the infant daughter of Sick Boy and his girlfriend Allison, does not persuade the group to recover. Later, Renton, Sick Boy and Spud are caught shoplifting; Renton and Spud are arrested while Sick Boy narrowly escapes by running down Princes Street. Spud receives a six-month custodial sentence at HMP Saughton, while Renton avoids jail time by entering a drug rehabilitation programme. Renton quickly relapses and nearly dies of an overdose at Swanney's home. Upon returning home after revival at a hospital, Renton's parents lock him in his childhood bedroom and force him to go cold turkey. Following a difficult withdrawal, Renton is released upon condition that he have an HIV/AIDS test. Despite years of sharing syringes with other addicts, Renton tests negative.
Renton is now clean, but bored and devoid of a sense of meaning in his life. He visits Tommy, who is now severely addicted to heroin and has tested HIV-positive. On Diane's advice, Renton moves to London and takes a job as a property letting agent. He begins to enjoy his new life of sobriety and corresponds with Diane, who keeps him up to date with developments back home. However, to Renton's exasperation, Begbie, who is wanted for armed robbery, tracks him down and takes up refuge with him. They are soon joined by Sick Boy, now a pimp and drug dealer. Begbie and Sick Boy later attack two of Renton's clientele, resulting in him losing his job, and the trio return to Edinburgh for the funeral of Tommy, who has died of AIDS-related toxoplasmosis.
Following the funeral, Sick Boy asks Renton, Begbie and Spud (who has been recently released from prison) help in buying two kilograms of heroin for £4,000 to later resell at a higher price. Renton reluctantly covers the remaining cost, and the group returns to London to sell the heroin to a major dealer for £16,000. As they celebrate in a pub, Renton secretly suggests to Spud that they could both leave with the money, but Spud, motivated by fear of Begbie and loyalty, refuses. However, Sick Boy indicates he would happily do so, and Begbie brutally beats a man after a petty confrontation. Concluding that Begbie and Sick Boy are unpredictable and cannot be trusted, Renton quietly steals the bag of money and leaves. Spud witnesses him, but does not warn the others. Renton leaves £4,000 in a safe deposit box for Spud, who ""never hurt anybody"". Begbie, discovering Renton and the money are gone, angrily destroys the hotel room where the four stay, prompting the police to arrive and arrest him as Sick Boy and Spud flee. While Spud claims his share of the money, Renton walks towards his future, at last ""choosing life.""
"
Kill Bill: Vol. 1,"
Uma Thurman
Lucy Liu
Vivica A. Fox
Michael Madsen
Daryl Hannah
David Carradine
Sonny Chiba
Julie Dreyfus
Chiaki Kuriyama
Gordon Liu
Michael Parks
","
October 10, 2003 (2003-10-10)
","NAA woman in a wedding dress, the Bride, lies wounded in a chapel in El Paso, Texas, having been attacked by the Deadly Viper Assassination Squad. She tells their leader, Bill, that she is pregnant with his baby just before he shoots her in the head.
Four years later, having survived the attack, the Bride goes to the home of Vernita Green, planning to kill her. Both women were members of the assassination squad, which has since disbanded; Vernita now leads a normal suburban family life. They engage in a knife fight, but are interrupted by the arrival of Vernita's young daughter, Nikki. The Bride agrees to meet Vernita at night to settle the matter, but when Vernita tries to surprise the Bride with a pistol hidden in a box of cereal, the Bride throws a knife into Vernita's chest, killing her. Nikki witnesses the killing, and the Bride acknowledges that Nikki may one day seek her own vengeance for her mother's death.
Four years earlier, police investigate the massacre at the wedding chapel. The sheriff discovers that the Bride is alive but comatose. In the hospital, Deadly Viper Elle Driver prepares to assassinate the Bride via lethal injection, but Bill aborts the mission at the last moment, considering it dishonorable to kill the Bride when she cannot defend herself.
The Bride  awakens from her four-year coma and is horrified to find that she is no longer pregnant. She kills a man who tries to rape her and a hospital worker who has been selling her body while she was comatose. She takes the hospital worker's truck and teaches herself to walk again.
Resolving to kill Bill and all four members of the Deadly Viper Assassination Squad, the Bride picks her first target: O-Ren Ishii, now the leader of the Tokyo Yakuza. O-Ren's parents were murdered by the Yakuza when she was a child; she took vengeance on the Yakuza boss and replaced him after training as an elite assassin. The Bride travels to Okinawa, Japan, to obtain a sword from legendary swordsmith Hattori Hanzō, who has sworn never to forge a sword again. After learning that her target is Bill, his former student, he relents and crafts his finest sword for her.
At a Tokyo restaurant, the House of Blue Leaves, the Bride defeats O-Ren's elite squad of fighters, the Crazy 88, and her bodyguard, schoolgirl Gogo Yubari. She and O-Ren duel in the restaurant's Japanese garden; the Bride gains the upper hand and slices the top of her head off with a sword stroke. She tortures Sofie Fatale, O-Ren's assistant, for information about Bill, and leaves her alive as a threat. Bill asks Sofie if the Bride knows that her daughter is alive.
"
Hotel Rwanda,"
Don Cheadle
Sophie Okonedo
Joaquin Phoenix
Nick Nolte
","
11 September 2004 (2004-09-11) (TIFF)
22 December 2004 (2004-12-22) (United States)
11 March 2005 (2005-03-11) (Italy)
","NAIn April 1994, tensions between the Hutu and Tutsi peoples led to genocide in Rwanda, where corruption and bribes between politicians were routine. Paul Rusesabagina, manager of the Hôtel des Mille Collines, is Hutu, but his wife Tatiana is Tutsi. Their marriage is a source of friction with Hutu extremists, including Georges Rutaganda, a goods supplier to the hotel who is also the local leader of Interahamwe, a brutal Hutu militia.
As the political situation in the country worsens following the assassination of the president, Paul and his family observe neighbors being killed, initiating the early stages of the genocide. Paul curries favor with people of influence, bribing them with money and alcohol, seeking to maintain sufficient influence to keep his family safe. When civil war erupts and a Rwandan Army officer threatens Paul and his neighbors, Paul barely negotiates their safety and brings them to the hotel. Upon returning with them, he finds his receptionist Gregoire occupying the presidential suite threatening to rat them out if he is put back to work.
More evacuees arrive at the hotel from the overburdened United Nations refugee camp, the Red Cross, and various orphanages, among which Tatiana desperately searches for her brother, sister-in-law, and two nieces. As the situation becomes more violent, Paul must divert the Hutu soldiers, care for the refugees, protect his family, and maintain the appearance of a functioning hotel. He eventually gains the protection of the Rwandan army general Augustin Bizimungu, who threatens Gregoire back to work.
Low on supplies, Paul and Gregoire drive to collect hotel supplies from Georges Rutaganda and witnesses Tutsi hostages being treated violently by the Hutu militia. Georges explains to Paul that the ""rich cockroaches'"" money is going to be valueless because all of the Tutsis will be dead. Paul expresses disbelief that the Hutu extremists will wipe out all of the Tutsis, but Georges replies: ""Why not? We are halfway there already.""
They return to the hotel through the dark and thick fog, on a road that Georges recommends. At one point, Paul believes they have gone off the road and tells Gregoire to stop. When Paul exits the vehicle, he sees the riverside road is full of bodies and realizes that Georges was correct in his estimation that half the Tutsis are already dead.
The UN peacekeeping forces, led by Canadian Colonel Oliver, are unable to take assertive action against the Interahamwe because the peacekeepers are forbidden to intervene in the conflict and prevent the genocide. The foreign nationals are evacuated, but the Rwandans are left behind. When the UN forces attempt to evacuate a group of refugees, including Paul's family, Gregoire betrays them by informing the Interahamwe of the evacuation, and they are ambushed and forced to turn back.
In a last-ditch effort to save the refugees, Paul pleads with General Bizimungu for assistance. However, when Paul's bribes no longer work, he blackmails the general with threats of him being tried as a war criminal if he doesn't help. Soon afterward, Paul's family and the hotel refugees are finally able to leave the besieged hotel in a UN convoy. They travel through retreating masses of refugees and militia to reach safety behind Tutsi rebel lines and are reunited with their nieces.
The end title cards explain that Paul saved at least 1,200 Tutsi and Hutu refugees. He and his family, who adopted the two nieces, moved to Belgium, but Tatiana's brother Thomas and his wife were never found. The genocide came to an end in July 1994 when the Tutsi rebels drove the Hutu militia and the Interahamwe across the border into the Congo. At least 1 million people died in the genocide. George and the general were tried and sentenced for war crimes.
"
El secreto de sus ojos,"
Juan José Campanella
Eduardo Sacheri
","
Haddock Films
100 Bares
Tornasol Films
","NAIn June 1974, judiciary agent Benjamin Espósito investigates the rape and murder of Liliana Colotto de Morales. Espósito promises her husband Ricardo he will find the killer and give him a life sentence. Espósito is helped by his alcoholic partner Pablo Sandóval and the new department chief Irene Menéndez-Hastings. Romano, Espósito's rival, accuses two immigrant workers of the murder, which angers Espósito upon discovering that both of them were tortured to obtain a confession.
Espósito finds a lead while watching old photos of Liliana, which Ricardo gave him: many of them featured a man, identified as Isidoro Gómez, staring at her suspiciously. Espósito and Sandóval sneak into Gómez's mother's house in Chivilcoy. During the break-in, they find some letters from Gómez to his mother. Sandóval steals them and Espósito finds out after returning to Buenos Aires. Their ""visit"" only causes them trouble with their higher-ups, and they are unable to find any evidence in the letters. Gómez is still on the loose due to a careless phone call from Ricardo to Gómez's mother, in a desperate quest for his wife's killer. Ultimately, the case is closed.
In 1975, Espósito finds Ricardo in a train station in Retiro and discovers that he was trying to find Gómez in multiple stations. Espósito convinces Menéndez to reopen the investigation. Meanwhile, while getting drunk in a bar, Sandóval makes a discovery: an acquaintance of his identifies several names on the letters – seemingly without any connection – as footballers of Racing Football Club. After identifying him as a Racing fan, Espósito and Sandóval attend a game between Racing and Huracán, in hopes of finding Gómez.
While keeping an eye on the game's attendees in Huracán's stadium, Espósito and Sandóval locate Gómez among the crowd, but a sudden goal causes a hubbub and allows Gómez to flee. A chase ensues and Gómez is caught by the stadium's security guards. Espósito and Menéndez then grill him illegally, with Menéndez making Gómez confess after hurting his male pride. Gómez is tried and sentenced, but Romano bails him out one month later in order to get revenge on Espósito and hires him as a hitman for the right-wing faction of the Peronist Party. Espósito and Menéndez try to reverse it, but are stopped by Romano's intervention. Espósito informs Morales that his wife's killer will never go to prison.
Weeks later, Sandóval gets in a bar fight, causing Espósito to take him to his flat and fetch his wife. They find the door pried open, his pictures flipped over and Sandóval shot dead in his room. Espósito soon concludes that Gómez/Romano sent assassins after him, but Sandóval impersonated him to protect his friend. Fearing for his life, Espósito goes into hiding for 10 years in Jujuy Province with Menéndez's cousins. Espósito returns to Buenos Aires in 1985 to find Gómez missing, Romano murdered during the National Reorganization Process, and Menéndez married with two children.
In 1999, Espósito tries to make sense out of the case and visits Ricardo, who moved in 1975 to an isolated cottage in a rural area of the Buenos Aires Province. Ricardo loses control when Benjamín asks him how he coped with his wife's death and the unfair end of the investigation, since Gómez was never seen again after becoming part of Isabel Perón’s security detail. Ricardo tells Benjamín that he kidnapped and murdered Gómez years earlier, and Benjamín leaves. Moments later, however, Benjamín drives back to Ricardo’s house, where he finds Ricardo giving food to Gómez, whom Ricardo kept imprisoned for 25 years without talking to him. Gómez begs Benjamin for human contact, but Ricardo tells Benjamin he promised him ""a life sentence"".
Back in Buenos Aires, Benjamín visits Pablo's grave for the first time. He then goes to Irene's office, ready to confess his love to her, something she was always expecting from him. Smiling and expectant upon his visit, she tells him to close the door.
"
Tonari no Totoro,Toru Hara,Studio Ghibli,"NAIn 1958 Japan, university professor Tatsuo Kusakabe and his two daughters, Satsuki and Mei, move into an old house to be closer to the hospital where the girls' mother, Yasuko, is recovering from a long-term illness. The house is inhabited by tiny creatures called susuwatari—small, dark, dust-like house spirits seen when moving from light to dark places.[note 1] When the girls become comfortable in their new house, the soot spirits leave to find another empty house.

One day, Mei discovers two small spirits who lead her into the hollow of a large camphor tree. She befriends a larger spirit, which identifies itself by a series of roars that she interprets as ""Totoro"". She falls asleep atop Totoro, but when Satsuki finds her, she is on the ground. Despite many attempts, Mei is unable to show her family Totoro's tree. Tatsuo comforts her by telling her that Totoro will reveal himself when he wants to..mw-parser-output .tmulti .thumbinner{display:flex;flex-direction:column}.mw-parser-output .tmulti .trow{display:flex;flex-direction:row;clear:left;flex-wrap:wrap;width:100%;box-sizing:border-box}.mw-parser-output .tmulti .tsingle{margin:1px;float:left}.mw-parser-output .tmulti .theader{clear:both;font-weight:bold;text-align:center;align-self:center;background-color:transparent;width:100%}.mw-parser-output .tmulti .thumbcaption{background-color:transparent}.mw-parser-output .tmulti .text-align-left{text-align:left}.mw-parser-output .tmulti .text-align-right{text-align:right}.mw-parser-output .tmulti .text-align-center{text-align:center}@media all and (max-width:720px){.mw-parser-output .tmulti .thumbinner{width:100%!important;box-sizing:border-box;max-width:none!important;align-items:center}.mw-parser-output .tmulti .trow{justify-content:center}.mw-parser-output .tmulti .tsingle{float:none!important;max-width:100%!important;box-sizing:border-box;text-align:center}.mw-parser-output .tmulti .tsingle .thumbcaption{text-align:left}.mw-parser-output .tmulti .trow>.thumbcaption{text-align:center}}"
V for Vendetta,"
Natalie Portman
Hugo Weaving
Stephen Rea
Stephen Fry
John Hurt
","
11 December 2005 (2005-12-11) (Butt-Numb-A-Thon[2])
16 March 2006 (2006-03-16) (Germany)
17 March 2006 (2006-03-17) (United States)
","NAIn 2027, the world is in turmoil, with the United States fractured as a result of a second civil war and a pandemic of the ""St. Mary's Virus"" ravaging Europe. The United Kingdom is ruled as a Nordic supremacist[7][8] and neo-fascist[9] police state by the Norsefire Party, helmed by all-powerful High Chancellor Adam Sutler. Political opponents, immigrants, Jews, Muslims, atheists, homosexuals, and other ""undesirables"" are imprisoned and executed. 
On November 4, a vigilante in a Guy Fawkes mask, ""V"", rescues Evey Hammond, an employee of state-run British Television Network, from members of the ""Fingermen"" secret police. They watch his demolition of the Old Bailey, accompanied by fireworks and the ""1812 Overture"". Inspector Finch of Scotland Yard investigates V's activities. V hijacks a BTN broadcast to claim responsibility for the destruction, encouraging the people of Britain to rebel against their government and meet him on next year's Guy Fawkes Night outside the Houses of Parliament. The police attempt to capture V. Evey helps him escape but is knocked unconscious.
V takes Evey to his home, where she is told she must remain for one year. V kills Lewis Prothero, Norsefire's chief propagandist, and Anthony Lilliman, the Bishop of London. Evey offers to help, but escapes to the home of her boss, talk show host Gordon Deitrich. In return for Evey trusting him, Gordon reveals subversive paintings, an antique Quran, and homoerotic photographs. V confronts Dr. Delia Surridge, who experimented on him and others at Larkhill concentration camp; seeing her remorse, he kills her painlessly.
After Gordon satirizes the government on his show, his home is raided and Evey captured. She is tortured for information about V, her only solace being a note written by Valerie Page, a prisoner tortured and killed for being a lesbian. Evey is to be executed unless she reveals V's location. When she says she would rather die, she is released, finding herself in V's home. V staged her imprisonment to free her from her fears. The note was real, passed from Valerie to V when he was imprisoned. While Evey initially hates V for what he did to her, she realizes she is a stronger person. She leaves him, promising to return before November 5.
Reading Surridge's journal, Finch learns V is the result of human experimentation and is targeting those who detained him. Finch searches for V's true identity, tracing him to a bioweapons program in Larkhill. Finch meets William Rookwood, who tells him about the program. Fourteen years earlier, Sutler, Secretary of Defence at the time, launched a secret project at Larkhill which resulted in the creation of the St. Mary's virus. Creedy, the current leader of the Norsefire Party, suggested releasing the virus onto the UK. Targeting St. Mary's School, a tube station and a water treatment plant, the virus killed more than 100,000 people. The outbreak was blamed on a terrorist organisation. Norsefire used the fear and chaos to elevate Sutler to the office of High Chancellor, win an overwhelming majority in Parliament, and profit off the cure for the virus. Finch discovers that Rookwood was V in disguise. Though he initially disbelieves the story, his faith in the Norsefire government is shaken.
As November 5 nears, V distributes thousands of Guy Fawkes masks. On the eve of November 5, Evey visits V, who shows her a train filled with ANFO explosives in the abandoned London Underground, set to destroy Parliament. He leaves it to Evey to decide whether to use it. V meets Creedy, with whom he made a deal to surrender in exchange for Sutler's execution. After Creedy executes Sutler, V  kills Creedy and his men. Mortally wounded, V tells Evey he loves her before dying. Despite their earlier quarrels, Evey has grown close to V, and is visibly heartbroken by his death. 
Finch finds Evey placing V's body aboard the train. Disillusioned by the Party's regime, Finch allows Evey to send the train. Thousands of citizens wearing Guy Fawkes masks march toward the Houses of Parliament. The military receives no orders and allows the crowd to pass. As Parliament is destroyed, Finch asks Evey for V's identity, to which she replies, ""He was all of us.""
"
Finding Nemo,"
Albert Brooks
Ellen DeGeneres
Alexander Gould
Willem Dafoe
","
May 30, 2003 (2003-05-30)
","NANemo is a young clownfish who lives with his father Marlin in an anemone in the Great Barrier Reef. Nemo, despite being hampered by a lame right fin, is eager to explore life around the ocean. Marlin, however, is overprotective of him, having lost his wife Coral and all their other eggs in a barracuda attack, leaving Nemo as his only child. On Nemo's first day of school, Marlin unintentionally embarrasses him, and while Marlin is distracted with the teacher, Mr. Ray, Nemo defiantly sneaks away from the reef toward a speedboat, where he is captured by a pair of scuba divers. Marlin tries to chase the boat and meets Dory, a blue tang who suffers from acute short-term memory loss, who offers her help. During an encounter with three sharks who have sworn to abstain from eating other fish, Marlin notices a diver's mask that fell from the boat that took Nemo. Marlin and Dory fight over the mask, giving Dory a nose bleed, which sends one of the sharks into a feeding frenzy, and Marlin and Dory narrowly escape, but are knocked unconscious when the sharks accidentally set off a ring of old naval mines.
Meanwhile, Nemo is placed in an aquarium in a dentist's office in Sydney, Australia, where he meets the Tank Gang, including yellow tang Bubbles, starfish Peach, cleaner shrimp Jacques, blowfish Bloat, royal gramma Gurgle, and damselfish Deb, led by Gill, a Moorish idol. That night, Nemo learns he is to be given to the dentist's young niece, Darla, whose rough treatment has killed most of her previous fish. Gill devises a risky escape plan: Nemo, who can fit inside the aquarium's filter tube, will jam the filter with a pebble, forcing the dentist to put the fish into plastic bags while he cleans the tank, giving them the opportunity to roll out the window and into the harbor. Nemo attempts the maneuver, but fails and is almost killed, leaving Gill guilt-ridden.
Marlin and Dory wake up unharmed, but the mask falls into a deep sea trench. Swimming after it, Marlin is chased by an anglerfish, while Dory reads the address and recites it repeatedly to commit it to memory. Dory and Marlin receive directions from a school of moonfish, but Marlin disregards their instructions to take what he believes is a safer route, leading them into a forest of jellyfish where they end up unconscious from all the jellyfish stings. Marlin and Dory wake up to find themselves on the East Australian Current with a group of friendly sea turtles including Crush and his son, Squirt. Marlin tells them about his quest, impressing them, and the story is relayed across the ocean, all the way to the dentist's office, where a pelican named Nigel tells the Tank Gang. Inspired by his father's bravery, Nemo makes another attempt to jam the filter and succeeds, and soon the aquarium's contents are covered in green algae.
Marlin and Dory exit the East Australian Current and are engulfed by a blue whale. Dory communicates with the whale, who carries them to Sydney Harbor and expels them through its blowhole. There, they meet Nigel, who help the pair escape from a group of seagulls and takes them to the dentist's office. Meanwhile, the dentist has installed a new high-tech filter, foiling the Tank Gang's escape. Darla arrives, and the dentist prepares to give Nemo to her. Nemo plays dead to save himself as Nigel causes a disturbance, terrifying Darla and throwing the office into chaos. After the dentist throws Nigel out, Gill helps Nemo escape through a drain that leads to the ocean.
Thinking that Nemo is dead, Marlin thanks and bids farewell to Dory and begins his journey home. Marlin's departure causes Dory to lose her memory. She meets Nemo as he reaches the ocean, but does not remember him. However, Dory's memory returns when she reads the word ""Sydney"" on a drainpipe. She reunites Nemo with Marlin, but is caught by a fishing trawler with a school of grouper. With Marlin’s blessing, Nemo enters the net and he and Marlin order the fish to swim down in order to break the boat's net to escape. After returning home to the reef, Marlin and Dory watch Mr. Ray take Nemo and his friends on a field trip. At the dentist's, the filter has broken, and the gang, having been put in bags, roll out of the window and into the harbor. Still stuck, they ponder what happens next.
"
Dial M for Murder,Ray MillandGrace KellyRobert CummingsJohn Williams,"
May 18, 1954 (1954-05-18) (Philadelphia)[1]
May 29, 1954 (1954-05-29) (US)
","NATony Wendice (Ray Milland), an English retired champion tennis player, is married to wealthy socialite Margot (Grace Kelly), who has had an affair with American crime-fiction writer Mark Halliday (Robert Cummings). When Tony retires from tennis, he secretly discovers the affair. He decides to murder his unfaithful wife, both for revenge and to ensure that her money will continue to fund his comfortable lifestyle.
Tony invites an old acquaintance from the University of Cambridge, Charles Alexander Swann (Anthony Dawson), to his London flat. Tony is aware that Swann has become a small-time criminal with several aliases and has been secretly following Swann so he can blackmail him into murdering Margot. Tony tells Swann about Margot's affair. Six months ago, Tony had stolen her handbag, which contained a love letter from Mark and anonymously blackmailed her. After tricking Swann into leaving his fingerprints on the letter, Tony offers to pay him £1,000 to kill Margot; if Swann refuses, Tony will turn him into the police as Margot's blackmailer. Swann's credibility, in denying Tony's accusation, would be hurt by his criminal record.
After Swann agrees, Tony explains his plan: the following evening, he will go with Mark to a party, leaving Margot at home while hiding her latchkey under the carpet of the staircase facing the front door of their flat. Swann is to sneak in when Margot is fast asleep and hide behind the curtains in front of the French doors to the garden. At eleven o'clock, Tony will telephone the flat from the party. Swann must strangle Margot when she answers the phone, open the French doors, leave signs that would trick the police into believing that a burglary had gone wrong, and then exit through the front door before hiding the key under the stair carpet again.
The following night, Swann enters the flat while Margot is in bed and waits. At the party, Tony discovers that his watch has stopped, so he phones the flat three minutes later than intended. When Margot comes to the phone, Swann tries to strangle her with his scarf, but she manages to grab a pair of scissors and stab him fatally in the back. She picks up the telephone receiver and pleads for help. Tony tells her not to touch anything until he arrives home. When he returns to the flat, he calls the police and sends Margot to bed. Before the police arrive, Tony moves what he thinks is Margot's latchkey from Swann's pocket into her handbag, plants Mark's letter on Swann, and destroys Swann's scarf, replacing it with Margot's own stocking in an attempt to incriminate her.
The following day, Tony persuades Margot to hide the fact that he told her not to call the police immediately. Chief Inspector Hubbard (John Williams) arrives and questions the Wendices, and Margot makes several conflicting statements. When Hubbard says Swann must have entered through the front door, Tony falsely claims to have seen Swann when Margot's handbag was stolen and suggests that Swann made a copy of her key. Hubbard does not believe this because no key was found on Swann's body upon inspection. Hubbard arrests Margot after concluding that she killed Swann for blackmailing her. Margot is found guilty of murder and sentenced to death.
Some months later, on the day before Margot's scheduled execution, Mark visits Tony, saying he has devised a story for Tony to tell the police to save Margot from execution. To Tony's consternation, Mark's   ""story"" is very close to what did actually happen: that Tony bribed Swann to murder Margot. Tony says the story is too unrealistic. Hubbard arrives unexpectedly, and Mark hides in the bedroom. Hubbard questions  Tony about large sums of cash he has been spending tricks him into revealing that his latchkey is in his raincoat, and inquires about Tony's attaché case. Tony claims to have lost the case, but Mark, overhearing the conversation, finds it on the bed, full of banknotes. Deducing that the money was Tony's intended payoff to Swann, Mark stops Hubbard from leaving and explains his theory. Tony tells another lie, ""confessing"" that the cash was Margot's blackmail payment to Swann, which he had concealed to cover up her guilt. Hubbard appears to accept Tony's explanation over Mark's theory, and Mark leaves angrily. Hubbard discreetly swaps his own raincoat with Tony's. As soon as Tony leaves, Hubbard uses Tony's key to re-enter the flat, followed by Mark. Hubbard had already discovered that the key in Margot's handbag was Swann's own latchkey and deduced that Swann had put the Wendices' key back in its hiding-place after unlocking the door. Now, correctly suspecting Tony of having conspired with Swann, Hubbard had developed an elaborate ruse to confirm this.
Plainclothes police officers bring Margot from prison to the flat. She tries unsuccessfully to unlock the door with the key in her handbag, then enters through the garden, proving to Hubbard that she is unaware of the hidden key and is therefore innocent. Hubbard has Margot's handbag returned to the police station, where Tony retrieves it after discovering that he has no key. The key from Margot's bag does not work, so he uses the hidden key to open the door, demonstrating his guilt. With his escape routes blocked by Hubbard and another policeman, Tony calmly makes himself a drink, congratulates Hubbard, and admits defeat.
"
Into the Wild,"
Emile Hirsch
Marcia Gay Harden
William Hurt
Jena Malone
Catherine Keener
Brian Dierker
Vince Vaughn
Kristen Stewart
Hal Holbrook
","
September 21, 2007 (2007-09-21)
","NAIn April 1992, Christopher McCandless arrives in a remote area called Healy, just north of Denali National Park and Preserve in Alaska. Noting McCandless' unpreparedness, the stranger who drops him off gives him a pair of gumboots. McCandless travels into the wilderness and sets up a campsite in an abandoned city bus, which he calls ""The Magic Bus."" At first, McCandless is content with the isolation, the beauty of nature around him, and the thrill of living off the land. He hunts with a .22 caliber rifle, reads books, and keeps a diary of his thoughts as he prepares himself for a new life in the wild.
"
